id,ua_city,city,lat,lng,country,iso2,admin_name,capital,population,population_proper
db1b5c50-8aaf-4192-8688-72595e87d2d7,Ворзель,Vorzel,50.55,30.15,Ukraine,UA,Kyivska Oblast,,6441,6441
491d4941-9aac-4da2-841d-585901db275c,Шепетівка,Shepetivka,50.1833,27.0667,Ukraine,UA,Khmelnytska Oblast,minor,6373,6373
3e6d83ee-0361-49e4-8bb9-6647cee4c99f,Галич,Halych,49.1247,24.7286,Ukraine,UA,Ivano-Frankivska Oblast,minor,6196,6196
41f043d4-e3e8-483f-902d-9bc5c2d7c8c4,Петропавлівська Борщагівка,PetropavlivsвЂ™ka Borshchahivka,50.4338,30.3286,Ukraine,UA,Kyivska Oblast,,6125,6125
080f64b4-fa24-4bdc-829c-5c4f39b60ee9,Балабине,Balabyne,47.7442,35.2203,Ukraine,UA,Zaporizka Oblast,,6010,6010
07635d52-378c-49c2-aed0-4aef16e81341,Старий Крим,Staryi Krym,47.1597,37.4869,Ukraine,UA,Donetska Oblast,,5887,5887
7e70ce5d-d140-4eb5-bb81-c18ce8b26997,Зеленівка,Zelenivka,46.7178,32.6544,Ukraine,UA,Khersonska Oblast,,5775,5775
834cd26f-2b08-4552-87f4-4a849c9f5854,Чорнухине,Chornukhyne,48.3264,38.5156,Ukraine,UA,Luhanska Oblast,,5725,5725
36cfb031-a5e1-4bad-b519-6a604e7f31da,Коцюбинське,KotsyubynsвЂ™ke,50.49,30.3347,Ukraine,UA,"Kyiv, Misto",,5709,5709
74d372b3-6216-4b2a-83eb-07781cdc0720,Кореїз,Koreiz,44.4331,34.0872,Ukraine,UA,"Krym, Avtonomna Respublika",,5455,5455
bf48d3cd-01ba-4a0c-ae3a-a4c46f51cfa2,Брюховичі,Bryukhovychi,49.9039,23.9539,Ukraine,UA,Lvivska Oblast,,5400,5400
f492bfed-4e28-4662-8a8f-53411b963035,Горенка,Horenka,50.5569,30.3175,Ukraine,UA,Kyivska Oblast,,5358,5358
e28ed740-112a-4bc5-a251-8604846e103f,Чабани,Chabany,50.3403,30.4228,Ukraine,UA,Kyivska Oblast,,5334,5334
6502f1a0-a2e1-439d-9ea0-85d137734dc0,Тепле,Teple,48.3328,39.5422,Ukraine,UA,Luhanska Oblast,,5201,5201
23d06329-7b42-4e93-920d-e13852a73735,Залізне,Zalizne,48.375,37.8733,Ukraine,UA,Donetska Oblast,,4928,4928
25197a56-31bc-4e33-8e07-bb89c9d7fe9e,Хотів,Khotiv,50.3333,30.4667,Ukraine,UA,Kyivska Oblast,,4737,4737
335d31e1-8cb1-4e70-b16e-9c0a7ba9e7b5,Новоолександрівка,Novooleksandrivka,48.3454,34.9969,Ukraine,UA,Dnipropetrovska Oblast,,4502,4502
f79c1553-c301-448c-9e87-6f12e10f48c2,Заозерне,Zaozerne,45.1606,33.285,Ukraine,UA,"Krym, Avtonomna Respublika",,4332,4332
95a6d5b6-ef22-4df2-9783-281c87bd66c7,Алмазна,Almazna,48.5167,38.5833,Ukraine,UA,Luhanska Oblast,,4301,4301
16cacad7-a510-41f3-8147-36d576ad0a60,Шабельківка,Shabelkivka,48.7608,37.4881,Ukraine,UA,Donetska Oblast,,4267,4267
22e4fd77-373f-40dd-a53a-f63cc614815c,Оброшине,Obroshino,49.7853,23.8686,Ukraine,UA,Lvivska Oblast,,4186,4186
45522e9b-28b5-4384-8edf-83aa84d0a3e1,Крихівці,Krykhivtsi,48.9008,24.6662,Ukraine,UA,Ivano-Frankivska Oblast,,4125,4125
3f1e3d8c-dd63-46b8-8201-e69a9f50472f,Новопілля,Novopillia,47.9539,33.5278,Ukraine,UA,Dnipropetrovska Oblast,,4037,4037
13bf7d86-c050-497a-b31f-d4423ec012ce,Зайцеве,Zaitseve,48.4292,38.0094,Ukraine,UA,Donetska Oblast,,3919,3919
de9d7bdc-f575-473f-92c5-295f29b16d08,Сімеїз,Simeiz,44.4058,33.99,Ukraine,UA,"Krym, Avtonomna Respublika",,3901,3901
d969827d-6550-4bc6-bfa8-90e776d60965,Новосілки,Novosilky,50.3544,30.4544,Ukraine,UA,"Kyiv, Misto",,3761,3761
0e7adf96-b357-47ad-bacc-246d831a7c50,Ясинівка,Yasynivka,48.1358,37.9303,Ukraine,UA,Donetska Oblast,,3588,3588
1c285d47-1948-41e6-ade4-41b5dbb54815,Крюківщина,Kryukivshchyna,50.3683,30.3681,Ukraine,UA,Kyivska Oblast,,3509,3509
c1dfcbe9-2805-40f9-b5ad-a147e9cfaf37,Шахтарське,Shakhtarske,48.0497,39.5528,Ukraine,UA,Luhanska Oblast,,3495,3495
a1f1f304-606b-4785-afbc-5cb2c2ccefb7,Михайлівка-Рубежівка,Mykhaylivka-Rubezhivka,50.5003,30.1458,Ukraine,UA,Kyivska Oblast,,3430,3430
e96bb2af-0caa-4dd6-9c65-78ac49f888ba,Валянівське,Valianivske,48.0767,39.5611,Ukraine,UA,Luhanska Oblast,,3324,3324
bfaafbe3-1092-44bc-a939-d386388fee44,Малокатеринівка,Malokaterynivka,47.6581,35.26,Ukraine,UA,Zaporizka Oblast,,3320,3320
86c72433-e32d-4f7d-bf1d-46f17d3da9f6,Південна Ломуватка,Yuzhna Lomuvatka,48.4375,38.5311,Ukraine,UA,Luhanska Oblast,,3310,3310
6e24b46c-22ce-40d5-8258-f6d4018a195c,Щербинівка,Shcherbynivka,48.3886,37.9067,Ukraine,UA,Donetska Oblast,,3266,3266
2868b1d0-edd9-4425-b4a1-c0fe6413c9bd,Вилок,Vylok,48.1147,22.8319,Ukraine,UA,Zakarpatska Oblast,,3201,3201
